"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Eif4g3",8471.20550510987,0.219942085241627,0.0283668177076947,7.75349873602375,8.93946805618212e-15,3.84017959066104e-14
"Hspg2",83657.7645693933,0.216067345054909,0.0219567348021885,9.84059547111588,7.52640334053673e-23,4.13749762123784e-22
"Alpl",547.613448563814,-4.76908616849373,0.144408552264488,-33.0249565812351,3.56081320433335e-239,1.37562412519297e-237
"Ptpn12",5241.0616375455,0.638969601056362,0.0357713880270014,17.8625889656294,2.30686519726596e-71,2.80972681989859e-70
"Zcchc17",1690.28155123577,-0.0356629047377331,0.0516334640510717,-0.690693630442037,0.489758093011874,0.614445247106178
"Fabp3",6.34462850030184,0.58181584926686,0.795702816570238,0.731197423398215,0.464658573756938,0.590581309912436
"Pef1",2853.36675182396,0.610673311524104,0.0458656167603063,13.3144031337349,1.90891876227823e-40,1.52903916818894e-39
"Sema3c",34501.2360482249,0.608038026277266,0.019827407325628,30.6665423416879,1.59057478180549e-206,5.25918873442863e-205
"Spocd1",23.7147576074788,-0.760683362376335,0.404949050473217,-1.87846683795755,0.0603173295211901,0.105088847821517
"Ptp4a2",18054.4539091211,0.30898854879555,0.0246097301932756,12.5555439400948,3.70625506362322e-36,2.74839837897442e-35
"Azin2",680.642935944223,-1.29674754753736,0.0805547960998864,-16.0977075273013,2.64732822951589e-58,2.76206626043783e-57
"Khdrbs1",12748.5087157275,-0.0373067891598881,0.0250983331170671,-1.48642497435493,0.137166747997523,0.217756953138911
"Ak2",5243.05984930417,0.457992370435945,0.0332639788568738,13.7684181560651,3.94762314801615e-43,3.3069433256332e-42
"Rnf19b",3224.4277312735,0.551252927526111,0.038561536934324,14.2954086209005,2.33729856901773e-46,2.06328311840575e-45
"A3galt2",31.3052573576816,2.34677151671233,0.429427061525287,5.46488967969742,4.63194780929682e-08,1.48333164142187e-07
"Ccdc28b",391.365616825216,0.24366210414725,0.107384664116609,2.26905867939073,0.0232647577088547,0.0442317615699212
"Phc2",7448.99278917535,0.327759088832985,0.0321126214199394,10.2065503948386,1.85337162887503e-24,1.06603243038184e-23
"Tmem234",4454.06677561646,0.260863068709535,0.0402555407460115,6.48017797985688,9.16144846712318e-11,3.36688472270019e-10
"Eif3i",6046.86440106843,-0.0259366828908934,0.0353797635923768,-0.733093730916899,0.463501263476631,0.589543610794171
"Zfp362",1620.248824069,-0.200874828415999,0.0526201417088204,-3.81745130082626,0.000134837391353033,0.000339342277499618
