"","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant"
"Mlxipl",2.54574209599222,2.05402544568512,24.9028445961287,6.71281126456233e-13,6.57128760827242e-12,19.345018604034,"up"
"Gzf1",-0.868378249790523,6.22345942143326,-24.8990757314475,6.72661021979282e-13,6.58010895806637e-12,19.3428349020831,"down"
"Gpnmb",-2.8193505518758,2.34452680240951,-24.8973966646229,6.73276756836582e-13,6.58144789897722e-12,19.3418619378742,"down"
"Dpy19l1",-0.597862571369004,7.94692823249368,-24.8954314150837,6.73998205097668e-13,6.5838175770166e-12,19.3407230593449,"down"
"Maml1",-0.72328047646891,6.57511379002668,-24.8931324544714,6.74843210195317e-13,6.58738997224747e-12,19.339390681826,"down"
"Thumpd2",-1.94658862536263,3.20933768068028,-24.8885116178743,6.76545076301628e-13,6.59843559419968e-12,19.3367122851008,"down"
"Ypel3",-2.24637178503668,3.86197032164902,-24.8874547546704,6.76934967099938e-13,6.59843559419968e-12,19.3360996228839,"down"
"Fabp5",4.05663749787108,1.08827200269822,24.881938788681,6.78973788041118e-13,6.6103428262187e-12,19.3329016151698,"up"
"Rybp",1.14029926994091,4.94831576060728,24.8815480658708,6.79118456826309e-13,6.6103428262187e-12,19.3326750585967,"up"
"Ogt",-0.754936399144038,7.71999666424742,-24.879736598642,6.79789600890563e-13,6.61219269259724e-12,19.3316246530256,"down"
"Got2",0.523531044042059,8.1165134588302,24.8713453002466,6.82907833346648e-13,6.63782550319401e-12,19.3267578693491,"stable"
"Cip2a",0.77346119499424,6.78432966253112,24.8479418194375,6.91685838079027e-13,6.71839587177254e-12,19.3131759071622,"up"
"Tfpi",-2.29041017132313,2.91481078449045,-24.8303803617294,6.98351971871285e-13,6.77835416765462e-12,19.3029761548575,"down"
"Dlx6os1",-4.06147629966885,0.959449112956478,-24.8200080974153,7.02321452571201e-13,6.81207201421213e-12,19.2969486245983,"down"
"Cables1",-1.53199771703809,3.6108858335355,-24.8081165913916,7.06902094938408e-13,6.85166600340866e-12,19.2900352278305,"down"
"Haus6",0.940634175203467,6.11527140106446,24.8046331024539,7.08249994717164e-13,6.85989283114355e-12,19.2880094142683,"up"
"Puf60",0.632701214481164,7.7339122134486,24.7880908509235,7.14688515336857e-13,6.91737954562659e-12,19.2783855475268,"up"
"Tm4sf1",0.558934390279164,9.66641160728056,24.7674685908551,7.22802933227881e-13,6.99099473207882e-12,19.2663793144974,"stable"
"Bop1",0.801168130508965,7.24737314258637,24.7586978096128,7.26283895461503e-13,7.01972282645774e-12,19.261270049135,"up"
"Rpgrip1l",-0.947209746997358,5.05183867767756,-24.7569957753847,7.26961478786473e-13,7.02133419848298e-12,19.2602783556441,"down"
"Flcn",-0.910722576040211,5.48063849487929,-24.7508802142148,7.29401686715636e-13,7.03995560549136e-12,19.2567145670514,"down"
"Card19",0.65566838442132,6.31122870497449,24.7449723353349,7.31767355968375e-13,7.05783195819604e-12,19.2532709931284,"up"
"Egln1",-0.959130490578984,7.65937673093765,-24.7214782443098,7.41256613020926e-13,7.14434143713858e-12,19.2395689120219,"down"
"Slc1a4",-0.867493145897482,5.74236194062304,-24.7051114703019,7.47944962809969e-13,7.20375302653133e-12,19.2300161239947,"down"
"Cdk4",-0.492479268774319,8.5829631286387,-24.7003112756233,7.49918814565044e-13,7.21501483703234e-12,19.227213233664,"stable"
"Arl4c",-0.756846685431002,6.0835753529754,-24.699715569639,7.50164159059896e-13,7.21501483703234e-12,19.2268653571043,"down"
"Slain1",2.1950514211311,2.75909862052765,24.6647731424213,7.647068261579e-13,7.34974169140851e-12,19.2064456698505,"up"
"Zadh2",0.718631364387965,6.02649282737223,24.6480375761522,7.71778632774908e-13,7.4125265750233e-12,19.1966557989315,"up"
"Itpk1",0.856961387399322,5.91340243265904,24.6456371383658,7.72798693766186e-13,7.41714053570004e-12,19.1952510773866,"up"
"Zyx",-0.516754937352436,7.84619461279657,-24.6407947884234,7.74860835860206e-13,7.43174272718958e-12,19.1924169604575,"stable"
"Gabra3",-3.73242809647998,1.5242671232585,-24.6276848427571,7.80473403734135e-13,7.48035318055924e-12,19.1847413007083,"down"
"Ptpn3",1.06408682459951,5.1211088411717,24.6204074347549,7.83607746749007e-13,7.50516018907202e-12,19.1804787887937,"up"
"Anpep",1.1691962322469,5.24448723513214,24.612896993452,7.86856591708615e-13,7.53102854905516e-12,19.1760785055215,"up"
"Plxna1",0.498919099423011,9.02598189505072,24.6093640460741,7.88389848713121e-13,7.54045238741346e-12,19.1740081416302,"stable"
"Necap1",0.739198961295404,5.75778626057885,24.5881252643387,7.97674903337166e-13,7.62395262271628e-12,19.1615558058366,"up"
